TYP_ZVÍŘETE;JMÉNO_ZVÍŘETE;GENDER
Donkey;juicy flamingo;M
Fox;sacred gayal;Z
Dog;zany condor;M
Horse;past shrimp;M
Cat;magenta bedbug;M
Horse;sensible scorpion;M
Dog;repulsive tiger;M
Cat;thoughtful hedgehog;Z
Tiger;unpleasant macaw;Z
Fox;cuddly herring;Z
Bear;blue puma;Z
Cat;quick minnow;Z
Lizard;sweet donkey;Z
Tiger;obedient skink;Z
Cat;arbitrary opossum;M
Lizard;intimate gazelle;Z
Parrot;neutral narwhal;M
Bear;bloody mosquito;Z
Donkey;sweet tern;M
Donkey;furious bass;Z
Cat;favourable carp;Z
Tiger;controversial python;M
Parrot;urgent harrier;Z
Parrot;muddy cricket;Z
Parrot;scornful spider;M
Tiger;light mammal;Z
Fox;primitive woodpecker;M
Bear;uninterested swordfish;M
Fox;delightful salamander;Z
Cat;satisfactory cattle;M
Fox;sweet coral;M
Horse;unconscious otter;Z
Lion;drunk yak;Z
Horse;rich hoverfly;M
Donkey;colossal cockroach;M
Bear;lively mink;Z
Donkey;marvellous caribou;M
Tiger;smiling clownfish;M
Cat;pink flyingfish;M
Cat;experienced quail;Z
Bear;blue urial;M
Fox;working quail;Z
Lion;prime amphibian;M
Horse;funny weasel;M
Parrot;fair junglefowl;Z
Fox;voluntary wolf;M
Tiger;payable llama;M
Horse;inquisitive catshark;M
Parrot;racial kingfisher;M
Parrot;live cobra;Z
Parrot;tropical roundworm;Z
Donkey;female nightingale;Z
Dog;thirsty pig;M
Parrot;tasteless goat;Z
Lion;dusty raven;Z
Cat;wet iguana;M
Lizard;important condor;Z
Donkey;lively gecko;M
Lizard;loud turtle;Z
Dog;mid carp;M
Bear;magnificent locust;Z
Lion;liquid perch;M
Dog;unique silkworm;Z
Lion;rough harrier;M
Lizard;moderate horse;Z
Lizard;architectural anteater;M
Horse;greek firefly;Z
Cat;respectable badger;M
Horse;spare turkey;M
Lion;miserable loon;Z
Fox;everyday sturgeon;M
Cat;pale guineafowl;Z
Donkey;subtle bug;M
Cat;developing ant;M
Tiger;prepared goat;M
Fox;royal catshark;M
Fox;deafening sturgeon;M
Horse;ugly horse;Z
Parrot;remote jellyfish;M
Horse;empirical cattle;Z
Fox;few primate;M
Bear;sensitive porpoise;Z
Lion;confused marlin;Z
Donkey;exuberant coyote;Z
Fox;short mammal;M
Tiger;deep gopher;M
Tiger;small trout;M
Parrot;medical monkey;Z
Cat;delicious pike;Z
Donkey;visual stoat;M
Dog;salty lynx;Z
Donkey;rainy snake;M
Donkey;thoughtful leopard;Z
Cat;short sparrow;M
Dog;then dragonfly;M
Bear;purple thrush;M
Lion;loud impala;M
Tiger;literary rodent;Z
Lizard;urgent ocelot;M
Donkey;real lamprey;M
Lizard;established koi;M
Lizard;opposite orangutan;M
Horse;similar grasshopper;M
Fox;academic gull;Z
Lion;wicked vole;M
Dog;flying deer;Z
Tiger;skinny dingo;M
Bear;extreme galliform;M
Tiger;excellent pinniped;M
Tiger;magnificent macaw;M
Fox;representative snake;Z
Parrot;apparent bovid;M
Dog;current orca;M
Tiger;victorian sturgeon;M
Cat;gleaming bobcat;Z
Tiger;outer grouse;M
Dog;interested haddock;Z
Lizard;absent limpet;M
Cat;rural turkey;Z
Donkey;odd otter;M
Lion;managing mule;M
Cat;gothic xerinae;Z
Parrot;monetary beetle;Z
Fox;sensitive tern;M
Cat;colossal aphid;M
Tiger;old xerinae;Z
Lizard;rough swallow;M
Cat;serious baboon;M
Tiger;easy thrush;Z
Lion;shivering egret;M
Fox;wet tern;M
Horse;rude coyote;M
Cat;naughty galliform;Z
Lizard;difficult alligator;Z
Fox;cheap deer;Z
Donkey;functional hare;Z
Cat;blue wildebeest;M
Lion;uptight bass;Z
Lizard;safe gazelle;M
Donkey;promising yak;M
Bear;integrated buzzard;Z
Lizard;charming basilisk;M
Dog;civilian viper;Z
Donkey;calm planarian;Z
Fox;elated shrew;M
Lizard;determined meerkat;Z
Fox;weird cricket;Z
Tiger;standard chinchilla;Z
Dog;pregnant cardinal;M
Dog;labour xerinae;M
Cat;naughty dragon;M
Lizard;general basilisk;M
Cat;certain locust;M
Lizard;sleepy jellyfish;Z
Fox;religious porcupine;Z
Dog;substantial finch;M
Fox;ashamed rook;Z
Donkey;rubber perch;M
Tiger;quick lungfish;Z
Donkey;retail landfowl;Z
Lizard;foolish worm;M
Dog;flexible rat;M
Cat;scornful goat;Z
Tiger;popular hare;M
Fox;visiting ocelot;M
Fox;entitled badger;M
Parrot;alone roundworm;Z
Tiger;light louse;Z
Lizard;round stork;Z
Bear;sharp mite;Z
Fox;friendly llama;M
Cat;external primate;M
Horse;preferred mule;M
Bear;heavy shark;Z
Bear;frozen bonobo;Z
Lizard;inadequate hornet;M
Fox;diplomatic snipe;Z
Parrot;dead anteater;Z
Cat;grotesque cephalopod;Z
Cat;ministerial mole;Z
Lizard;bad tiger;Z
Tiger;comparative crawdad;Z
Donkey;weak ocelot;Z
Dog;motionless earthworm;Z
Bear;healthy chipmunk;Z
Dog;awful flyingfish;M
Horse;hungry bee;M
Lizard;poor shrimp;M
Lion;odd quelea;Z
Lizard;tall flea;Z
Dog;anxious mosquito;Z
Fox;increasing grouse;Z
Lion;eldest alpaca;Z
Lion;funny wolf;M
Bear;limited cicada;Z
Parrot;representative scallop;Z
Cat;loud ostrich;Z
Tiger;proud pony;M
Lion;semantic jay;Z
Fox;anxious lizard;M
Lion;essential hippopotamus;Z
Lizard;independent mollusk;M
Parrot;quiet aphid;M
Cat;weird muskox;M
Parrot;precious junglefowl;M
Horse;particular clam;M
Parrot;free guan;Z
Tiger;steady carp;M
Fox;marine python;M
Lion;nice tern;M
Fox;plain kangaroo;Z
Parrot;specified primate;Z
Horse;holy earthworm;M
Tiger;embarrassing fly;Z
Donkey;lonely cockroach;Z
Fox;cheerful snipe;M
Cat;content earwig;M
Bear;itchy starfish;Z
Lizard;autonomous elephant;Z
Lizard;faithful orangutan;Z
Cat;burning horse;M
Lizard;vivid pheasant;Z
Lion;external kangaroo;Z
Parrot;tory hookworm;Z
Horse;shaky louse;M
Fox;precious dog;M
Parrot;tall sheep;Z
Tiger;crooked tick;Z
Dog;mushy guppy;Z
Fox;convinced dragonfly;Z
Lizard;rural crow;Z
Fox;alleged egret;M
Donkey;major harrier;M
Donkey;quick hummingbird;M
Parrot;alone donkey;Z
Dog;negative stork;M
Bear;round mite;M
Lion;gothic ant;M
Lizard;principal snake;M
Tiger;socialist bug;Z
Dog;fellow opossum;M
Donkey;vulnerable ferret;Z
Cat;elegant mole;Z
Lion;happy leopon;M
Parrot;modern ape;M
Fox;tasteless tern;Z
Tiger;conservative wombat;M
Cat;respectable chameleon;Z
Tiger;dull carp;Z
Horse;high ape;M
Lion;selective capybara;Z
Cat;poised harrier;M
Dog;expensive mink;M
Fox;short silverfish;Z
Bear;glad caterpillar;Z
Fox;theoretical mollusk;M
Bear;conceptual bear;M
Horse;changing anteater;M
Bear;certain amphibian;Z
Horse;persistent rabbit;M
Dog;innocent gorilla;Z
Horse;lucky cephalopod;M
Donkey;local guan;Z
Parrot;young peafowl;M
Fox;flat cougar;M
Tiger;profitable stoat;M
Tiger;dull planarian;M
Parrot;artistic bird;M
Lizard;old swordtail;M
Parrot;rude quokka;Z
Horse;ripe marsupial;Z
Parrot;obliged snail;M
Parrot;breakable snipe;M
Bear;bitter emu;Z
Cat;fantastic leopard;M
Parrot;native marlin;Z
Donkey;angry bonobo;M
Cat;vast trout;M
Parrot;overwhelming butterfly;Z
Bear;philosophical dragon;M
Lion;frequent asp;Z
Parrot;awful hedgehog;M
Cat;dead crocodile;Z
Horse;constitutional cat;Z
Cat;big sawfish;M
Tiger;horrible mule;M
Fox;eager ptarmigan;Z
Dog;ministerial impala;Z
Fox;helpful badger;Z
Dog;puzzled bug;M
Dog;fantastic gamefowl;Z
Horse;responsible firefly;M
Horse;full elk;Z
Dog;large fox;M
Horse;confused raccoon;M
Lion;funny raven;Z
Cat;rotten barracuda;Z
Tiger;allied eel;M
Bear;narrow clam;M
Lizard;instant rook;M
Parrot;upper cow;Z
Lizard;monthly albatross;M
Lion;reliable tick;M
Horse;rough unicorn;M
Cat;noisy perch;Z
Lizard;competent sheep;M
Fox;long fox;Z
Cat;conscious giraffe;Z
Tiger;passive horse;Z
Donkey;patient lemur;M
Tiger;wee impala;M
Dog;significant otter;Z
Parrot;calm alpaca;Z
Dog;oral duck;M
Parrot;principal silverfish;M
Donkey;crooked snail;M
Horse;hissing duck;M
Donkey;married cattle;M
Parrot;guilty partridge;Z
Dog;tasteless koi;Z
Tiger;secure mockingbird;Z
Parrot;blonde sole;M
Fox;financial earwig;Z
Fox;selected hedgehog;Z
Lizard;mixed marmot;Z
Donkey;frozen macaw;Z
Donkey;yummy lamprey;M
Lizard;loud lamprey;Z
Tiger;mixed lynx;M
Lion;varied junglefowl;Z
Bear;bizarre whale;M
Bear;swiss fox;Z
Fox;advanced moth;M
Dog;wee woodpecker;M
Donkey;victorian frog;M
Parrot;breezy aardwolf;Z
Dog;strong tarsier;M
Lion;many kiwi;Z
Dog;large eel;Z
Horse;advanced flea;M
Lion;deep puffin;M
Tiger;preliminary guanaco;Z
Donkey;relieved flea;Z
Horse;fast bird;M
Dog;immense horse;Z
Tiger;separate sheep;Z
Tiger;curious rook;M
Horse;involved deer;M
Horse;stuck rooster;Z
Donkey;nervous dinosaur;Z
Lion;added flyingfish;M
Horse;geographical panther;Z
Parrot;exclusive lamprey;M
Lizard;lexical scallop;Z
Bear;beautiful crayfish;M
Tiger;many narwhal;Z
Parrot;comfortable kiwi;Z
Cat;marked mandrill;M
Donkey;bewildered cockroach;M
Dog;accurate cardinal;Z
Lizard;bitter antelope;M
Fox;awake tortoise;M
Cat;pleasant dinosaur;M
Horse;wild mole;Z
Fox;big goldfish;Z
Dog;competent fly;Z
Dog;dominant tyrannosaurus;M
Donkey;stupid bug;M
Bear;ambitious spider;M
Bear;bright sailfish;M
Lizard;marked whale;M
Dog;determined bat;M
Lion;safe duck;Z
Cat;splendid meerkat;Z
Cat;institutional tiger;M
Cat;quick alpaca;M
Fox;fun fowl;Z
Fox;loud capybara;Z
Fox;distinct whale;Z
Tiger;costly leopon;Z
Fox;anxious worm;M
Fox;bored hamster;Z
Cat;just bee;M
Lion;bizarre sawfish;Z
Bear;defiant wildebeest;Z
Lizard;scrawny echidna;Z
Bear;unpleasant mouse;Z
Parrot;fancy cat;Z
Lizard;purring chinchilla;Z
Dog;agricultural goose;Z
Cat;responsible earthworm;Z
Fox;patient fish;M
Fox;small peacock;Z
Bear;lively python;M
Dog;underground louse;Z
Tiger;friendly cattle;Z
Tiger;long canidae;M
Parrot;fine marlin;M
Bear;repulsive wombat;Z
Lizard;historic dolphin;M
Bear;surviving hummingbird;Z
Tiger;muddy guanaco;Z
Fox;mad tiglon;M
Fox;willing yak;Z
Lion;academic lobster;M
Parrot;overall alpaca;M
Fox;holy bonobo;M
Parrot;strange partridge;M
Fox;ordinary rooster;Z
Donkey;arbitrary whitefish;M
Lizard;amateur sturgeon;M
Donkey;salty impala;M
Lion;bright frog;M
Dog;strategic hornet;M
Donkey;magenta quail;M
Horse;ratty weasel;M
Lion;young jellyfish;Z
Fox;good donkey;Z
Parrot;quick swallow;M
Parrot;orange limpet;Z
Parrot;wonderful rooster;M
Fox;mid swordtail;M
Lizard;recent bandicoot;Z
Parrot;vague angelfish;Z
Tiger;doubtful raven;Z
Donkey;compulsory bee;Z
Donkey;proud barracuda;M
Donkey;friendly albatross;Z
Tiger;sad bear;Z
Tiger;frequent dragonfly;M
Cat;intelligent frog;M
Bear;precious chimpanzee;M
Donkey;great bug;M
Donkey;eventual hawk;M
Fox;okay llama;M
Parrot;outstanding alpaca;M
Bear;regular echidna;M
Cat;bumpy nightingale;Z
Cat;pretty silkworm;M
Fox;dull antlion;M
Lion;olympic goat;M
Parrot;progressive bug;M
Fox;sacred magpie;Z
Bear;implicit finch;Z
Donkey;rolling heron;M
Tiger;long guppy;Z
Bear;holy coyote;M
Lizard;extreme heron;Z
Bear;ultimate booby;Z
Donkey;able swordtail;Z
Cat;outer alligator;M
Fox;safe boar;M
Dog;regional pony;Z
Fox;immediate macaw;Z
Horse;boiling mackerel;Z
Donkey;popular gecko;M
Donkey;rare goat;Z
Lizard;missing earwig;M
Lion;ancient shrew;Z
Dog;fat rhinoceros;M
Dog;creepy blackbird;Z
Cat;defeated anglerfish;M
Cat;excess minnow;M
Cat;panicky llama;Z
Lion;sophisticated boa;M
Parrot;assistant pig;Z
Lion;injured meadowlark;Z
Tiger;outdoor eagle;M
Bear;additional opossum;M
Donkey;dead catshark;M
Cat;blank jaguar;Z
Cat;important peacock;Z
Dog;beautiful rattlesnake;Z
Lizard;intelligent lemming;M
Donkey;accepted mandrill;Z
Parrot;bright parakeet;Z
Lion;grateful rat;Z
Tiger;meaningful cricket;Z
Dog;friendly camel;M
Lion;dizzy pig;Z
Parrot;limited bedbug;M
Fox;quiet dormouse;Z
Fox;ashamed tuna;M
Horse;nutty porpoise;M
Lizard;wide wildcat;M
Dog;permanent mammal;Z
Fox;jealous partridge;M
Horse;tiny pony;Z
Cat;better turkey;Z
Cat;artificial leopard;M
Donkey;ill slug;M
Tiger;optimistic lynx;M
Dog;squealing asp;Z
Parrot;vast donkey;M
Donkey;bad harrier;Z
Cat;tiny lark;M
Donkey;nice wombat;M
Lizard;labour python;M
Bear;gentle tern;Z
Horse;lesser iguana;M
Lizard;fat lynx;M
Parrot;registered aardvark;Z
Lizard;subjective goat;Z
Horse;white urial;Z
Cat;aggressive fox;Z
Parrot;dynamic angelfish;Z
Parrot;collective guppy;Z
Lizard;brave pheasant;Z
Parrot;neat cuckoo;M
Cat;stormy cockroach;M
Lizard;whispering caterpillar;Z
Lizard;federal basilisk;Z
Donkey;rare marlin;Z
Tiger;terrible wolf;Z
Donkey;arrogant buzzard;Z
Lizard;various mastodon;M
Cat;unwilling asp;Z
Cat;rough finch;M
Donkey;massive goose;M
Donkey;sound mongoose;Z
Bear;valid hamster;M
Tiger;single antelope;Z
Tiger;forward leopard;M
Cat;repulsive peacock;Z
Bear;static penguin;Z
Bear;calm alligator;Z
Dog;medieval alpaca;Z
Tiger;ancient stoat;M
Cat;consistent narwhal;Z
Cat;screeching piranha;M
Tiger;enchanting hoverfly;Z
Cat;stable centipede;M
Lion;excessive guineafowl;M
Lion;bitter manatee;M
Bear;helpless cattle;M
Cat;bright bandicoot;M
Tiger;small amphibian;M
Parrot;improved mule;Z
Donkey;cute wasp;Z
Horse;technical canidae;M
Fox;provincial swordtail;M
Tiger;deep shrew;Z
Dog;marxist goat;M
Lion;mute loon;M
Horse;thin chameleon;Z
Lizard;territorial cuckoo;M
Lizard;handsome canidae;M
Dog;unfair basilisk;Z
Bear;unpleasant chameleon;M
Tiger;retail aardvark;Z
Horse;magnificent boar;Z
Lion;noble cattle;M
Bear;shy lion;M
Cat;comparable anteater;Z
Lion;impressed mastodon;Z
Bear;natural perch;Z
Fox;alive chickadee;Z
Tiger;petite herring;Z
Fox;frantic gamefowl;Z
Donkey;shocked shark;Z
Bear;clean squirrel;Z
Horse;funny boa;Z
Donkey;ridiculous turkey;Z
Cat;shallow meadowlark;M
Donkey;thoughtful herring;M
Fox;worthy iguana;Z
Lion;like rooster;Z
Bear;determined wombat;Z
Bear;then gopher;M
Parrot;blind turkey;M
Fox;fancy hedgehog;Z
Donkey;legitimate halibut;M
Lion;psychological heron;M
Donkey;classic swordtail;M
Fox;occasional hippopotamus;M
Lizard;close duck;Z
Donkey;joint hornet;Z
Tiger;inner moose;M
Tiger;excited sparrow;M
Horse;endless possum;Z
Tiger;quaint mosquito;Z
Lion;eerie moth;M
Donkey;black turkey;Z
Parrot;flying lemming;M
Horse;soviet warbler;Z
Cat;thundering shrew;M
Dog;crooked swan;Z
Donkey;green squid;Z
Cat;equal fowl;Z
Lizard;dead newt;Z
Dog;intense dragonfly;Z
Horse;rough crayfish;Z
Cat;inherent bandicoot;Z
Donkey;legal dog;M
Horse;green bandicoot;M
Dog;welcome woodpecker;M
Cat;electrical bovid;M
Parrot;rare landfowl;M
Donkey;real galliform;M
Donkey;hon fox;M
Cat;spicy firefly;Z
Fox;practical dingo;M
Lion;dull swordtail;M
Cat;lonely dog;M
Fox;uninterested bass;Z
Cat;well tiglon;M
Tiger;fit wombat;Z
Cat;massive chameleon;M
Dog;orange slug;Z
Horse;clean ocelot;M
Tiger;fantastic scorpion;Z
Dog;soft elephant;Z
Parrot;just shark;Z
Dog;weird antlion;M
Tiger;unexpected gazelle;Z
Cat;fine partridge;Z
Dog;partial parakeet;M
Tiger;reduced stoat;M
Lion;instant toucan;Z
Lizard;unusual spider;Z
Fox;cheap unicorn;M
Dog;emotional magpie;M
Dog;interim falcon;Z
Tiger;partial hookworm;M
Horse;precious cat;Z
Donkey;comparable turtle;M
Tiger;detailed grouse;Z
Fox;damp silverfish;M
Fox;eldest weasel;M
Horse;embarrassing cattle;Z
Tiger;round constrictor;M
Bear;dusty cardinal;Z
Bear;divine guppy;M
Bear;slim jay;Z
Parrot;huge spoonbill;Z
Cat;unhappy cephalopod;Z
Donkey;zealous kite;M
Donkey;broken canidae;Z
Cat;calm pig;Z
Tiger;guilty perch;Z
Parrot;broad viper;Z
Cat;developing bedbug;Z
Bear;tall penguin;Z
Cat;favourable gopher;Z
Lion;greek fowl;M
Fox;wrong beetle;M
Donkey;loyal giraffe;M
Lion;lovely koi;Z
Horse;grieving tyrannosaurus;M
Dog;supporting fowl;Z
Parrot;bottom goldfish;M
Lizard;brainy warbler;Z
Cat;rough macaw;Z
Tiger;decisive tern;M
Tiger;violent orca;Z
Dog;flat takin;Z
Dog;itchy chimpanzee;M
Lion;unconscious viper;Z
Donkey;courageous crane;Z
Dog;estimated viper;M
Dog;weary blackbird;M
Horse;stuck donkey;M
Horse;occupational fowl;Z
Donkey;helpful hedgehog;M
Cat;dead eagle;Z
Lizard;bizarre goose;Z
Donkey;misleading guanaco;Z
Cat;interested cod;Z
Horse;funny beaver;Z
Lion;chemical mosquito;M
Parrot;entitled rat;M
Lion;mighty aardwolf;M
Bear;passive constrictor;Z
Lion;atomic shark;Z
Bear;boiling shark;M
Parrot;confused cod;Z
Cat;colorful whale;M
Bear;awful yak;M
Cat;crooked monkey;Z
Tiger;excess marmot;M
Lizard;alleged centipede;M
Bear;exciting termite;Z
Bear;mysterious aardvark;M
Donkey;fat basilisk;Z
Horse;asleep sheep;M
Donkey;rich pheasant;M
Fox;smiling perch;M
Tiger;efficient wildcat;M
Fox;arbitrary wasp;Z
Lizard;increased lamprey;M
Lion;rational anglerfish;Z
Lion;super marmoset;Z
Horse;relieved antlion;Z
Donkey;dangerous aardwolf;M
Dog;genuine hippopotamus;Z
Bear;sore octopus;Z
Horse;nuclear wren;Z
Dog;wealthy python;M
Fox;independent minnow;M
Lion;prickly ape;Z
Donkey;sick bear;Z
Fox;mysterious donkey;M
Donkey;filthy sturgeon;Z
Horse;slim mollusk;Z
Tiger;eager lemming;Z
Tiger;continental giraffe;M
Bear;unchanged donkey;M
Horse;exotic wildcat;Z
Dog;ashamed kingfisher;Z
Donkey;panicky goat;M
Parrot;miserable wolf;M
Horse;new trout;Z
Tiger;patient skunk;Z
Horse;expected salamander;Z
Horse;grateful louse;M
Tiger;proper porcupine;M
Tiger;final shark;M
Donkey;persistent camel;M
Cat;voluntary lizard;M
Tiger;short deer;M
Lizard;acute clam;Z
Lizard;stable peacock;Z
Dog;short dog;Z
Dog;eastern hippopotamus;Z
Parrot;ultimate horse;Z
Tiger;ideal monkey;M
Lion;ordinary muskox;M
Tiger;notable cattle;M
Cat;marginal lemur;Z
Lizard;uncertain swan;Z
Tiger;clean sawfish;Z
Dog;misleading magpie;Z
Parrot;cruel buzzard;Z
Cat;underlying raccoon;Z
Horse;cooing sawfish;Z
Cat;only lion;Z
Bear;dynamic cat;Z
Cat;willing coyote;Z
Tiger;superb rhinoceros;Z
Bear;uncomfortable pigeon;M
Horse;steep donkey;Z
Parrot;handsome macaw;M
Cat;urban crab;Z
Dog;structural marmoset;M
Donkey;invisible raven;M
Donkey;average aphid;M
Lion;ethical fowl;Z
Fox;consistent leech;Z
Lion;low bison;M
Dog;compatible tarsier;Z
Lion;victorious tiger;M
Donkey;shaggy cattle;Z
Tiger;economic leopon;Z
Dog;fashionable panther;Z
Bear;uninterested toad;M
Fox;manual swallow;M
Lion;cheerful vicuna;Z
Lion;ancient smelt;M
Bear;shiny beetle;Z
Tiger;elated puffin;M
Parrot;acceptable dragonfly;M
Tiger;cooperative sloth;M
Dog;accepted silkworm;Z
Horse;protective stork;Z
Bear;provincial cattle;M
Lion;arrogant fowl;M
Lion;beautiful yak;M
Dog;parental hedgehog;Z
Bear;drunk cow;M
Fox;prepared chimpanzee;M
Fox;light anglerfish;Z
Lizard;kind viper;M
Cat;spiritual finch;M
Horse;thoughtless toucan;Z
Parrot;tasteless grasshopper;M
Lizard;spotty hoverfly;M
Fox;bizarre parakeet;Z
Fox;tough felidae;M
Dog;rapid horse;Z
Lizard;depressed seahorse;Z
Horse;young echidna;M
Parrot;subjective gibbon;M
Fox;red octopus;M
Fox;black barnacle;M
Lizard;central horse;Z
Dog;prickly heron;Z
Parrot;weak mule;Z
Cat;dull worm;Z
Lion;desirable lemming;M
Lion;everyday halibut;Z
Lizard;agreed panda;M
Tiger;similar beaver;Z
Bear;dangerous horse;M
Fox;influential planarian;M
Tiger;amused rook;Z
Donkey;naval cattle;M
Cat;live jellyfish;M
Lion;sore sturgeon;M
Parrot;civil pony;M
Horse;ugly turtle;Z
Cat;stingy shrew;M
Lion;extended leech;Z
Bear;marxist firefly;M
Tiger;still cougar;M
Lizard;semantic porcupine;M
Fox;leading pig;M
Donkey;administrative urial;M
Bear;literary shrimp;M
Tiger;expected canidae;Z
Lion;breakable bonobo;M
Lizard;latin harrier;M
Tiger;filthy leopard;M
Cat;large wildcat;M
Donkey;sure parakeet;M
Bear;human hare;M
Bear;diverse aardwolf;M
Horse;prior cattle;Z
Lion;consistent termite;M
Cat;important bee;Z
Bear;sour goat;Z
Fox;enthusiastic clownfish;Z
Bear;inquisitive egret;Z
Donkey;dirty ferret;Z
Horse;modern egret;M
Cat;interested tapir;Z
Bear;unsightly pigeon;M
Cat;available deer;M
Lion;structural roundworm;M
Lizard;doubtful sawfish;M
Dog;tough hippopotamus;M
Bear;uneven tuna;M
Lion;subjective roundworm;Z
Parrot;negative marsupial;Z
Bear;boiling whale;Z
Fox;scattered bobcat;M
Bear;ashamed panda;M
Lion;wicked crab;Z
Cat;appropriate nightingale;Z
Lion;direct alpaca;M
Lizard;fair hippopotamus;Z
Fox;blonde ocelot;M
Fox;mental rodent;M
Horse;purring skunk;Z
Tiger;terrible grouse;Z
Fox;cooperative basilisk;M
Tiger;able guppy;Z
Parrot;continuing viper;M
Tiger;obnoxious flea;M
Lion;wonderful catshark;M
Cat;financial lungfish;Z
Tiger;fuzzy trout;Z
Lizard;uninterested tick;Z
Fox;combined termite;M
Dog;deafening snake;Z
Cat;courageous egret;M
Fox;nearby newt;M
Horse;other reindeer;Z
Dog;red grasshopper;M
Cat;visible mongoose;M
Tiger;grubby impala;M
Parrot;furious basilisk;Z
Donkey;adjacent lizard;Z
Fox;worried caribou;M
Cat;excessive butterfly;Z
Tiger;prior takin;Z
Horse;productive lungfish;M
Donkey;watery lion;M
Lion;fat rhinoceros;M
Bear;monetary buzzard;M
Horse;like skink;M
Tiger;resulting albatross;Z
Dog;spiritual hamster;Z
Tiger;sparkling tiglon;M
Bear;cold unicorn;Z
Horse;fit urial;M
Lion;successful smelt;M
Tiger;small panda;Z
Donkey;developing shrimp;Z
Horse;old flyingfish;Z
Donkey;productive stoat;M
Tiger;added kiwi;M
Cat;integrated whale;M
Horse;poor lynx;Z
Lizard;hollow bandicoot;M
Dog;shy mink;Z
Dog;long bovid;Z
Lizard;vast kite;M
Bear;respectable anaconda;M
Tiger;single silverfish;Z
Lion;green pelican;M
Tiger;angry cow;M
Lizard;electoral guineafowl;Z
Lizard;delicate crocodile;Z
Parrot;jittery grouse;M
Dog;marked junglefowl;Z
Lizard;mid panda;Z
Donkey;green tarantula;M
Cat;established lemming;M
Dog;distinct pony;Z
Cat;combined frog;M
Bear;immediate hippopotamus;Z
Lion;interior grasshopper;Z
Donkey;pale booby;Z
Lizard;socialist goat;M
Tiger;faint landfowl;M
Donkey;sweet impala;Z
Bear;ancient mule;M
Dog;homely reptile;M
Lizard;short owl;M
Cat;cuddly echidna;M
Tiger;unusual mollusk;M
Cat;eldest crawdad;M
Bear;doubtful thrush;M
Bear;convinced tiglon;M
Horse;helpful koala;Z
Lion;parental earthworm;M
Tiger;right primate;Z
Cat;mean gecko;Z
Donkey;awful barnacle;M
Fox;unusual dove;M
Bear;quaint panda;Z
Fox;ashamed tarsier;Z
Lizard;strange wallaby;Z
Horse;genetic earthworm;M
Fox;relative chipmunk;Z
Fox;smooth bandicoot;Z
Lizard;selected falcon;Z
Donkey;tan lobster;M
Tiger;sympathetic junglefowl;M
Bear;crude bobolink;Z
Dog;charming octopus;Z
Horse;small nightingale;M
Bear;renewed pheasant;Z
Dog;tragic unicorn;M
Lizard;watery lobster;Z
Tiger;panicky salamander;Z
Lion;dying bee;M
Parrot;pregnant herring;Z
Parrot;above wolf;Z
Dog;distinctive gorilla;M
Cat;modern ferret;Z
Fox;faint snail;M
Lion;entire cricket;M
Dog;flying macaw;Z
Cat;broken pheasant;M
Tiger;major lungfish;Z
Lion;numerous cat;M
Lion;geographical amphibian;M
Lion;select limpet;Z
Cat;key chimpanzee;Z
Bear;chubby dog;M
Cat;vital landfowl;M
Donkey;printed bonobo;M
Dog;sympathetic worm;M
Tiger;excessive sailfish;Z
Bear;impressed peacock;M
Donkey;weak carp;Z
Horse;yellow herring;M
Fox;yellow termite;Z
Tiger;physical tahr;Z
Horse;quickest llama;M
Parrot;final tiglon;Z
Parrot;many sawfish;Z
Lion;genuine coyote;Z
Bear;hurt urial;M
Cat;increased eel;M
Dog;junior locust;Z
Fox;gradual hedgehog;Z
Cat;northern swift;Z
Donkey;steep jackal;Z
Dog;awake scorpion;M
Lizard;native gull;M
Fox;unhappy sparrow;Z
Bear;following fowl;Z
Donkey;outside muskox;Z
Horse;short lark;Z
Cat;cheerful dog;Z
Tiger;interim deer;Z
Cat;sexual sawfish;M
Fox;additional goldfish;M
Tiger;integral leopard;M
Donkey;eerie impala;Z
Lion;sweet wolverine;Z
Lizard;leading cow;Z
Fox;small gayal;M
Dog;gay minnow;Z
Tiger;opposite starfish;Z
Parrot;beneficial clownfish;Z
Bear;relieved gamefowl;M
Horse;indirect kiwi;Z
Horse;solid goldfish;Z
Fox;outstanding pelican;Z
Lion;loud orca;M
Donkey;numerous silkworm;M
Fox;wonderful fly;Z
Lizard;rough boar;Z
Tiger;reliable bird;Z
Bear;ambitious monkey;Z
Donkey;calm parakeet;Z
Cat;zany silverfish;M
Fox;mid antelope;M
Donkey;plain catshark;Z
Tiger;quiet cat;M
Lizard;financial pinniped;M
Tiger;plain egret;Z
Dog;wandering dove;M
Lion;purple whippet;Z
Horse;neat meadowlark;M
Cat;fast turtle;M
Dog;presidential anglerfish;M
Lizard;future lark;M
Bear;magnificent ocelot;Z
Fox;industrial gerbil;Z
Bear;silly sawfish;M
Horse;silly guppy;Z
Lion;disturbed zebra;Z
Lizard;polite salmon;Z
Tiger;bored dragonfly;Z
Fox;hot felidae;M
Parrot;smiling basilisk;M
Cat;passing dolphin;M
Fox;dynamic vicuna;Z
Fox;temporary stork;M
Fox;impressive amphibian;M
Bear;ambitious takin;M
Lion;blue coyote;M
Lizard;fluffy eagle;M
Dog;proud koala;Z
